service_date|day_type|bus|rail_boardings|total_rides
2005-11-11|W|862413|587641|1450054
2005-11-12|A|626889|351085|977974
2005-11-13|U|416141|247977|664118
2005-11-14|W|1021597|637498|1659095
2005-11-15|W|1001890|644740|1646630
2005-11-16|W|960835|625642|1586477
2005-11-17|W|982303|636292|1618595
2005-11-18|W|997001|635900|1632901
2005-11-19|A|643136|395851|1038987
2005-11-20|U|424683|243191|667874
2005-11-21|W|1023750|627654|1651404
2005-11-22|W|1012669|637432|1650101
2005-11-23|W|946475|594581|1541056
2005-11-24|U|265869|149351|415220
2005-11-25|W|542621|335201|877822
2005-11-26|A|520348|290786|811134
2005-11-27|U|378931|214449|593380
2005-11-28|W|964783|610273|1575056
2005-11-29|W|964736|621228|1585964
2005-11-30|W|975689|623427|1599116
2005-12-01|W|1002814|637299|1640113
2005-12-02|W|1012143|626729|1638872
2005-12-03|A|602909|343944|946853
2005-12-04|U|394671|232929|627600
2005-12-05|W|959432|591559|1550991
2005-12-06|W|943778|595172|1538950
2005-12-07|W|922076|591500|1513576
2005-12-08|W|900776|651313|1552089
2005-12-09|W|922330|630309|1552639
2005-12-10|A|545442|331523|876965
2005-12-11|U|384544|223869|608413
2005-12-12|W|974895|603601|1578496
2005-12-13|W|984740|612377|1597117
2005-12-14|W|959741|629222|1588963
2005-12-15|W|972435|621555|1593990
2005-12-16|W|952574|605734|1558308
2005-12-17|A|576780|326028|902808
2005-12-18|U|371336|222374|593710
2005-12-19|W|860779|535968|1396747
2005-12-20|W|894974|534766|1429740
2005-12-21|W|918067|553734|1471801
2005-12-22|W|912016|544544|1456560
2005-12-23|W|878003|479373|1357376
2005-12-24|A|481238|198644|679882
2005-12-25|U|263158|105718|368876
2005-12-26|U|437677|224784|662461
2005-12-27|W|735303|457726|1193029
2005-12-28|W|711850|462580|1174430
2005-12-29|W|738031|481238|1219269
2005-12-30|W|762706|471541|1234247
2005-12-31|A|526241|307444|833685
2006-01-01|U|287126|203291|490417
2006-01-02|U|360273|215920|576193
2006-01-03|W|772171|540341|1312512
2006-01-04|W|759600|543243|1302843
2006-01-05|W|766560|550285|1316845
2006-01-06|W|788239|551707|1339946
2006-01-07|A|518237|280538|798775
2006-01-08|U|367927|199691|567618
2006-01-09|W|917702|588402|1506104
2006-01-10|W|938390|600336|1538726
2006-01-11|W|927898|602096|1529994
2006-01-12|W|955926|616251|1572177
2006-01-13|W|887164|585207|1472371
2006-01-14|A|558211|309983|868194
2006-01-15|U|381225|223499|604724
2006-01-16|W|605772|399562|1005334
2006-01-17|W|948555|619527|1568082
2006-01-18|W|954238|621428|1575666
2006-01-19|W|983087|634043|1617130
2006-01-20|W|944694|615420|1560114
2006-01-21|A|542740|308378|851118
2006-01-22|U|371481|208257|579738
2006-01-23|W|976988|626292|1603280
2006-01-24|W|972893|634204|1607097
2006-01-25|W|980770|634664|1615434
2006-01-26|W|988382|643068|1631450
2006-01-27|W|889516|608327|1497843
2006-01-28|A|568287|314425|882712
2006-01-29|U|380026|223196|603222
2006-01-30|W|966708|614814|1581522
2006-01-31|W|995530|634459|1629989
2006-02-01|W|1035412|641676|1677088
2006-02-02|W|1025866|642353|1668219
2006-02-03|W|1020411|627330|1647741
2006-02-04|A|587568|317239|904807
2006-02-05|U|390808|211645|602453
2006-02-06|W|986048|612106|1598154
2006-02-07|W|1008328|631742|1640070
2006-02-08|W|977974|629155|1607129
2006-02-09|W|984574|635409|1619983
2006-02-10|W|1003608|623814|1627422
2006-02-11|A|601208|327796|929004
2006-02-12|U|405657|221409|627066
2006-02-13|W|799595|546148|1345743
2006-02-14|W|1044587|644218|1688805
2006-02-15|W|988045|626072|1614117
2006-02-16|W|930188|613347|1543535
2006-02-17|W|942685|604038|1546723
2006-02-18|A|450578|265649|716227
2006-02-19|U|334766|196957|531723
2006-02-20|W|681948|453199|1135147
2006-02-21|W|993188|623860|1617048
2006-02-22|W|999636|629122|1628758
2006-02-23|W|991146|635013|1626159
2006-02-24|W|987623|615401|1603024
2006-02-25|A|580618|314037|894655
2006-02-26|U|386242|211388|597630
2006-02-27|W|959193|603047|1562240
2006-02-28|W|987195|623237|1610432
2006-03-01|W|1020267|627527|1647794
2006-03-02|W|986927|620235|1607162
2006-03-03|W|1021045|620890|1641935
2006-03-04|A|609288|322365|931653
2006-03-05|U|363219|208605|571824
2006-03-06|W|794246|550369|1344615
2006-03-07|W|1006095|626557|1632652
2006-03-08|W|982979|623290|1606269
2006-03-09|W|979823|627081|1606904
2006-03-10|W|1015665|721158|1736823
2006-03-11|A|614019|386305|1000324
2006-03-12|U|400822|233603|634425
2006-03-13|W|968366|609970|1578336
2006-03-14|W|1000900|629929|1630829
2006-03-15|W|1005800|632700|1638500
2006-03-16|W|953483|630443|1583926
2006-03-17|W|989694|633801|1623495
2006-03-18|A|603484|347527|951011
2006-03-19|U|413687|225740|639427
2006-03-20|W|963013|587104|1550117
2006-03-21|W|943649|585590|1529239
2006-03-22|W|982523|605646|1588169
2006-03-23|W|979617|609325|1588942
2006-03-24|W|978424|597943|1576367
2006-03-25|A|620929|322685|943614
2006-03-26|U|433649|234862|668511
2006-03-27|W|962206|601488|1563694
2006-03-28|W|981183|619650|1600833
2006-03-29|W|987756|636692|1624448
2006-03-30|W|996804|600724|1597528
2006-03-31|W|1028124|641079|1669203
2006-04-01|A|620450|348344|968794
2006-04-02|U|391830|254413|646243
2006-04-03|W|985177|616386|1601563
2006-04-04|W|1042810|660381|1703191
2006-04-05|W|1020222|654034|1674256
2006-04-06|W|998368|635705|1634073
2006-04-07|W|880902|634777|1515679
2006-04-08|A|607382|360442|967824
2006-04-09|U|426567|258613|685180
2006-04-10|W|880692|601070|1481762
2006-04-11|W|885029|628374|1513403
2006-04-12|W|877362|627736|1505098
2006-04-13|W|871878|634065|1505943
2006-04-14|W|804781|551524|1356305
2006-04-15|A|592251|323845|916096
2006-04-16|U|324770|181980|506750
2006-04-17|W|964793|623255|1588048
2006-04-18|W|1000958|646316|1647274
2006-04-19|W|984239|652275|1636514
2006-04-20|W|938226|641954|1580180
2006-04-21|W|999808|659127|1658935
2006-04-22|A|607395|357315|964710
2006-04-23|U|415959|248173|664132
2006-04-24|W|998455|642816|1641271
2006-04-25|W|953034|636129|1589163
2006-04-26|W|952603|649967|1602570
2006-04-27|W|955057|644011|1599068
2006-04-28|W|1008989|666532|1675521
2006-04-29|A|574038|343244|917282
2006-04-30|U|345287|224122|569409
2006-05-01|W|997873|738966|1736839
2006-05-02|W|1045233|664946|1710179
2006-05-03|W|1060500|663686|1724186
2006-05-04|W|1047587|665514|1713101
2006-05-05|W|1023957|651798|1675755
2006-05-06|A|637405|368890|1006295
2006-05-07|U|438858|258592|697450
2006-05-08|W|1010412|624197|1634609
2006-05-09|W|1004081|650430|1654511
2006-05-10|W|1007923|648361|1656284
2006-05-11|W|926462|621331|1547793
2006-05-12|W|958553|639308|1597861
2006-05-13|A|587533|340904|928437
2006-05-14|U|411861|249652|661513
2006-05-15|W|961857|601838|1563695
2006-05-16|W|994913|648507|1643420
2006-05-17|W|964565|640270|1604835
2006-05-18|W|987234|653070|1640304
2006-05-19|W|994011|651428|1645439
2006-05-20|A|619536|365397|984933
2006-05-21|U|423940|258770|682710
2006-05-22|W|996607|629775|1626382
2006-05-23|W|1013298|647643|1660941
2006-05-24|W|951852|631510|1583362
2006-05-25|W|978387|639540|1617927
2006-05-26|W|988688|657379|1646067
2006-05-27|A|646979|358425|1005404
2006-05-28|U|461625|282850|744475
2006-05-29|U|381213|245203|626416
2006-05-30|W|945888|632333|1578221
2006-05-31|W|968145|646966|1615111
2006-06-01|W|1028046|638192|1666238
2006-06-02|W|1031966|647618|1679584
2006-06-03|A|668592|371768|1040360
2006-06-04|U|457674|274564|732238
2006-06-05|W|1005516|625171|1630687
2006-06-06|W|1008096|653049|1661145
2006-06-07|W|1012230|666040|1678270
2006-06-08|W|1011430|675651|1687081
2006-06-09|W|988332|652258|1640590
2006-06-10|A|573542|349687|923229
2006-06-11|U|424510|267884|692394
2006-06-12|W|960901|623525|1584426
2006-06-13|W|961923|664539|1626462
2006-06-14|W|941928|665279|1607207
2006-06-15|W|907237|659507|1566744
2006-06-16|W|966314|667762|1634076
2006-06-17|A|616266|384541|1000807
2006-06-18|U|412366|259888|672254
2006-06-19|W|880777|608854|1489631
2006-06-20|W|889908|636659|1526567
2006-06-21|W|859537|629433|1488970
2006-06-22|W|872019|633021|1505040
2006-06-23|W|905242|639365|1544607
2006-06-24|A|607951|371810|979761
2006-06-25|U|407079|302719|709798
2006-06-26|W|852939|626802|1479741
2006-06-27|W|886147|642922|1529069
2006-06-28|W|886828|649479|1536307
2006-06-29|W|899339|667597|1566936
2006-06-30|W|950077|716112|1666189
2006-07-01|A|631294|429319|1060613
2006-07-02|U|440041|343944|783985
2006-07-03|W|802169|684040|1486209
2006-07-04|U|450356|350242|800598
2006-07-05|W|901332|661426|1562758
2006-07-06|W|925381|678340|1603721
2006-07-07|W|928760|702727|1631487
2006-07-08|A|625575|423300|1048875
2006-07-09|U|443095|313512|756607
2006-07-10|W|900356|618702|1519058
2006-07-11|W|873419|605343|1478762
2006-07-12|W|926286|615196|1541482
2006-07-13|W|922492|644488|1566980
2006-07-14|W|889540|669868|1559408
2006-07-15|A|603018|412144|1015162
2006-07-16|U|418278|308173|726451
2006-07-17|W|886469|626986|1513455
2006-07-18|W|927651|675064|1602715
2006-07-19|W|911699|687896|1599595
2006-07-20|W|827202|644150|1471352
2006-07-21|W|931578|676491|1608069
2006-07-22|A|625346|408434|1033780
2006-07-23|U|446438|284632|731070
2006-07-24|W|906725|633184|1539909
2006-07-25|W|919219|650364|1569583
2006-07-26|W|897731|641296|1539027
2006-07-27|W|894993|663387|1558380
2006-07-28|W|900144|673789|1573933
2006-07-29|A|593188|423092|1016280
2006-07-30|U|416361|290935|707296
2006-07-31|W|831261|608739|1440000
2006-08-01|W|894297|619717|1514014
2006-08-02|W|872246|628299|1500545
2006-08-03|W|911057|656020|1567077
2006-08-04|W|951984|722072|1674056
2006-08-05|A|645372|472159|1117531
2006-08-06|U|451477|357797|809274
2006-08-07|W|905263|633078|1538341
2006-08-08|W|916905|646778|1563683
2006-08-09|W|909623|641076|1550699
2006-08-10|W|856682|614321|1471003
2006-08-11|W|909305|638056|1547361
2006-08-12|A|652458|391862|1044320
2006-08-13|U|433792|268208|702000
2006-08-14|W|857738|595551|1453289
2006-08-15|W|888214|618372|1506586
2006-08-16|W|878842|620892|1499734
2006-08-17|W|874196|628756|1502952
2006-08-18|W|869355|638938|1508293
2006-08-19|A|612065|384987|997052
2006-08-20|U|481484|321400|802884
2006-08-21|W|878842|613716|1492558
2006-08-22|W|896666|628952|1525618
2006-08-23|W|891561|632682|1524243
2006-08-24|W|831663|617548|1449211
2006-08-25|W|895640|645738|1541378
2006-08-26|A|592637|361355|953992
2006-08-27|U|417115|276143|693258
2006-08-28|W|792601|587722|1380323
2006-08-29|W|891705|638128|1529833
2006-08-30|W|913445|650359|1563804
2006-08-31|W|917102|654437|1571539
2006-09-01|W|977274|663472|1640746
2006-09-02|A|668504|405986|1074490
2006-09-03|U|488706|320575|809281
2006-09-04|U|404856|256882|661738
2006-09-05|W|1056228|680476|1736704
2006-09-06|W|1069326|706958|1776284
2006-09-07|W|1043601|726551|1770152
2006-09-08|W|985806|708845|1694651
2006-09-09|A|609019|386190|995209
2006-09-10|U|379770|245048|624818
2006-09-11|W|981275|656692|1637967
2006-09-12|W|1030796|694780|1725576
2006-09-13|W|992146|694220|1686366
2006-09-14|W|1054398|719561|1773959
2006-09-15|W|1060398|729995|1790393
2006-09-16|A|651694|421692|1073386
2006-09-17|U|433989|294159|728148
2006-09-18|W|1037929|688531|1726460
2006-09-19|W|1041255|690760|1732015
2006-09-20|W|1053131|700536|1753667
2006-09-21|W|1044501|696162|1740663
2006-09-22|W|993335|668669|1662004
2006-09-23|A|584517|349931|934448
2006-09-24|U|420423|259500|679923
2006-09-25|W|1041474|666046|1707520
2006-09-26|W|1054882|695484|1750366
2006-09-27|W|1035426|690413|1725839
2006-09-28|W|1043356|676811|1720167
2006-09-29|W|1058057|699340|1757397
2006-09-30|A|636906|394280|1031186
2006-10-01|U|462755|296236|758991
2006-10-02|W|981933|635901|1617834
2006-10-03|W|1064774|681381|1746155
2006-10-04|W|1026517|675804|1702321
2006-10-05|W|1060282|698851|1759133
2006-10-06|W|1055911|691122|1747033
2006-10-07|A|641240|373957|1015197
2006-10-08|U|452460|283787|736247
2006-10-09|W|806458|572361|1378819
2006-10-10|W|1055021|684475|1739496
2006-10-11|W|1022625|684138|1706763
2006-10-12|W|998899|676609|1675508
2006-10-13|W|1014747|680633|1695380
2006-10-14|A|622249|386404|1008653
2006-10-15|U|420083|260059|680142
2006-10-16|W|1011001|668480|1679481
2006-10-17|W|1029815|683799|1713614
2006-10-18|W|1035671|687285|1722956
2006-10-19|W|1035827|689629|1725456
2006-10-20|W|1031742|705991|1737733
2006-10-21|A|631254|403698|1034952
2006-10-22|U|389726|375938|765664
2006-10-23|W|1018534|659505|1678039
2006-10-24|W|1043962|675059|1719021
2006-10-25|W|1057646|663754|1721400
2006-10-26|W|994421|659139|1653560
2006-10-27|W|1007282|663912|1671194
2006-10-28|A|622775|364159|986934
2006-10-29|U|434824|265624|700448
2006-10-30|W|1033777|660257|1694034
2006-10-31|W|997495|663340|1660835
2006-11-01|W|1053237|673789|1727026
2006-11-02|W|1012046|671054|1683100
2006-11-03|W|959706|654291|1613997
2006-11-04|A|609584|356326|965910
2006-11-05|U|435747|266756|702503
2006-11-06|W|1026257|653935|1680192
2006-11-07|W|1033037|651606|1684643
2006-11-08|W|1046870|674951|1721821
2006-11-09|W|1001116|668263|1669379
2006-11-10|W|935843|610547|1546390
2006-11-11|A|591773|376391|968164
2006-11-12|U|417471|251876|669347
2006-11-13|W|1007564|643008|1650572
2006-11-14|W|1047208|669094|1716302
2006-11-15|W|1039976|661667|1701643
2006-11-16|W|998140|658701|1656841
2006-11-17|W|1018763|664438|1683201
2006-11-18|A|620464|403175|1023639
2006-11-19|U|417408|242830|660238
2006-11-20|W|1022880|638117|1660997
2006-11-21|W|1022970|651230|1674200
2006-11-22|W|980561|616974|1597535
2006-11-23|U|318233|182131|500364
2006-11-24|W|628700|393228|1021928
2006-11-25|A|549875|317650|867525
2006-11-26|U|400592|234961|635553
2006-11-27|W|1012191|628799|1640990
2006-11-28|W|1030255|648239|1678494
2006-11-29|W|976231|634505|1610736
2006-11-30|W|985569|649626|1635195
2006-12-01|W|912314|629776|1542090
2006-12-02|A|595637|338009|933646
2006-12-03|U|375419|224761|600180
2006-12-04|W|962864|605349|1568213
2006-12-05|W|992857|620241|1613098
2006-12-06|W|1015490|629687|1645177
2006-12-07|W|921792|603900|1525692
2006-12-08|W|952445|626294|1578739
2006-12-09|A|590225|344215|934440
2006-12-10|U|406068|237226|643294
2006-12-11|W|995926|609360|1605286
2006-12-12|W|991473|612992|1604465
2006-12-13|W|1020619|640224|1660843
2006-12-14|W|1007667|626704|1634371
2006-12-15|W|1002739|632077|1634816
2006-12-16|A|632218|356756|988974
2006-12-17|U|432910|251802|684712
2006-12-18|W|990534|591895|1582429
2006-12-19|W|1019785|596338|1616123
2006-12-20|W|975226|586048|1561274
2006-12-21|W|924778|564199|1488977
2006-12-22|W|906201|529373|1435574
2006-12-23|A|578507|277455|855962
2006-12-24|U|391926|175847|567773
2006-12-25|U|242369|112855|355224
2006-12-26|W|652808|377449|1030257
2006-12-27|W|732919|460703|1193622
2006-12-28|W|758151|487441|1245592
2006-12-29|W|816636|499735|1316371
2006-12-30|A|589298|310684|899982
2006-12-31|U|412048|293362|705410
2007-01-01|U|326042|219953|545995
2007-01-02|W|772549|452097|1224646
2007-01-03|W|871683|561287|1432970
2007-01-04|W|814984|548904|1363888
2007-01-05|W|862748|569322|1432070
2007-01-06|A|580851|305019|885870
2007-01-07|U|384626|208188|592814
2007-01-08|W|976783|594028|1570811
2007-01-09|W|978577|598746|1577323
2007-01-10|W|968643|599118|1567761
2007-01-11|W|967218|602194|1569412
2007-01-12|W|973391|603456|1576847
2007-01-13|A|562827|308047|870874
2007-01-14|U|368736|217983|586719
2007-01-15|W|604564|389675|994239
2007-01-16|W|978082|620145|1598227
2007-01-17|W|977527|618895|1596422
2007-01-18|W|982237|620579|1602816
2007-01-19|W|978490|617473|1595963
2007-01-20|A|576490|316657|893147
2007-01-21|U|364130|214796|578926
2007-01-22|W|1002003|616824|1618827
2007-01-23|W|1011645|629993|1641638
2007-01-24|W|1006911|629208|1636119
2007-01-25|W|988347|630002|1618349
2007-01-26|W|901880|600561|1502441
2007-01-27|A|578477|314380|892857
2007-01-28|U|345116|199255|544371
2007-01-29|W|945286|594742|1540028
2007-01-30|W|952201|604145|1556346
2007-01-31|W|943384|598814|1542198
2007-02-01|W|1007882|616420|1624302
2007-02-02|W|958446|584607|1543053
2007-02-03|A|454188|247767|701955
2007-02-04|U|266510|162712|429222
2007-02-05|W|761572|500675|1262247
2007-02-06|W|850354|564981|1415335
2007-02-07|W|933093|593113|1526206
2007-02-08|W|948308|591797|1540105
2007-02-09|W|944364|582089|1526453
2007-02-10|A|546086|292046|838132
2007-02-11|U|369026|201895|570921
2007-02-12|W|793846|530211|1324057
2007-02-13|W|805441|607127|1412568
2007-02-14|W|884567|596676|1481243
2007-02-15|W|933588|604415|1538003
2007-02-16|W|928048|589591|1517639
2007-02-17|A|562470|306944|869414
2007-02-18|U|394698|226617|621315
2007-02-19|W|736322|466950|1203272
2007-02-20|W|1030943|626057|1657000
2007-02-21|W|1036604|631249|1667853
2007-02-22|W|1018598|631479|1650077
2007-02-23|W|999849|617663|1617512
2007-02-24|A|544391|302947|847338
2007-02-25|U|331808|195652|527460
2007-02-26|W|953661|597444|1551105
2007-02-27|W|998059|610100|1608159
2007-02-28|W|997324|617882|1615206
2007-03-01|W|991173|616136|1607309
2007-03-02|W|961731|596551|1558282
2007-03-03|A|582869|304060|886929
2007-03-04|U|400292|214735|615027
2007-03-05|W|861145|558483|1419628
2007-03-06|W|1004928|611416|1616344
2007-03-07|W|1000287|611040|1611327
2007-03-08|W|1019684|625383|1645067
2007-03-09|W|1021269|616768|1638037
2007-03-10|A|645222|343183|988405
2007-03-11|U|435861|237257|673118
2007-03-12|W|1009154|613447|1622601
2007-03-13|W|1053169|648460|1701629
2007-03-14|W|1010219|631196|1641415
2007-03-15|W|1011742|635295|1647037
2007-03-16|W|1019835|638871|1658706
2007-03-17|A|622487|432315|1054802
2007-03-18|U|420366|236110|656476
2007-03-19|W|1007874|607303|1615177
2007-03-20|W|1031451|620644|1652095
2007-03-21|W|970928|596843|1567771
2007-03-22|W|1025487|620409|1645896
2007-03-23|W|997803|601679|1599482
2007-03-24|A|619377|326859|946236
2007-03-25|U|442112|267216|709328
2007-03-26|W|1011806|604279|1616085
2007-03-27|W|1010067|606509|1616576
2007-03-28|W|981180|608639|1589819
2007-03-29|W|1014456|626073|1640529
2007-03-30|W|1037493|621496|1658989
2007-03-31|A|608037|323073|931110
2007-04-01|U|425595|222200|647795
2007-04-02|W|936869|574727|1511596
2007-04-03|W|932688|564461|1497149
2007-04-04|W|874823|565985|1440808
2007-04-05|W|892666|577450|1470116
2007-04-06|W|822387|508529|1330916
2007-04-07|A|547926|279962|827888
2007-04-08|U|374365|189557|563922
2007-04-09|W|1002171|601020|1603191
2007-04-10|W|1048978|629888|1678866
2007-04-11|W|921761|585857|1507618
2007-04-12|W|1015749|617734|1633483
2007-04-13|W|946466|621763|1568229
2007-04-14|A|619468|349162|968630
2007-04-15|U|447385|250988|698373
2007-04-16|W|1057373|622244|1679617
2007-04-17|W|1058244|631795|1690039
2007-04-18|W|1030970|617779|1648749
2007-04-19|W|987896|617546|1605442
2007-04-20|W|1049980|647296|1697276
2007-04-21|A|672236|371504|1043740
2007-04-22|U|474187|271708|745895
2007-04-23|W|1021947|617017|1638964
2007-04-24|W|1054294|631249|1685543
2007-04-25|W|927830|604311|1532141
2007-04-26|W|954930|604957|1559887
2007-04-27|W|1017433|617985|1635418
2007-04-28|A|657645|320088|977733
2007-04-29|U|467869|237595|705464
2007-04-30|W|1030435|599953|1630388
2007-05-01|W|1096741|680365|1777106
2007-05-02|W|1067338|617675|1685013
2007-05-03|W|1102282|631926|1734208
2007-05-04|W|1081903|642564|1724467
2007-05-05|A|664729|360852|1025581
2007-05-06|U|470694|266988|737682
2007-05-07|W|1059535|610376|1669911
2007-05-08|W|1079400|648555|1727955
2007-05-09|W|1061512|645132|1706644
2007-05-10|W|1065947|654856|1720803
2007-05-11|W|1050841|668098|1718939
2007-05-12|A|660001|329029|989030
2007-05-13|U|446076|224489|670565
2007-05-14|W|1017451|586905|1604356
2007-05-15|W|999166|604844|1604010
2007-05-16|W|1028004|625297|1653301
2007-05-17|W|1043033|627116|1670149
2007-05-18|W|1044582|643462|1688044
2007-05-19|A|684079|343947|1028026
2007-05-20|U|422463|233007|655470
2007-05-21|W|1039954|614276|1654230
2007-05-22|W|1044661|627087|1671748
2007-05-23|W|1028065|623366|1651431
2007-05-24|W|1009067|617536|1626603
2007-05-25|W|995233|611019|1606252
2007-05-26|A|556682|307727|864409
2007-05-27|U|451833|270636|722469
2007-05-28|U|415256|254935|670191
2007-05-29|W|1024735|622662|1647397
2007-05-30|W|1055384|637763|1693147
2007-05-31|W|997007|612977|1609984
2007-06-01|W|1079848|654251|1734099
2007-06-02|A|680844|367035|1047879
2007-06-03|U|461358|263646|725004
2007-06-04|W|988557|611310|1599867
2007-06-05|W|1067413|643474|1710887
2007-06-06|W|1047624|641107|1688731
2007-06-07|W|1041490|656169|1697659
2007-06-08|W|1025937|653397|1679334
2007-06-09|A|661835|402393|1064228
2007-06-10|U|466294|291979|758273
2007-06-11|W|1000007|645161|1645168
2007-06-12|W|1015390|660899|1676289
2007-06-13|W|955467|654913|1610380
2007-06-14|W|944081|653008|1597089
2007-06-15|W|1018966|670995|1689961
2007-06-16|A|633038|363871|996909
2007-06-17|U|464411|257682|722093
2007-06-18|W|898272|590320|1488592
2007-06-19|W|954392|618913|1573305
2007-06-20|W|952574|625805|1578379
2007-06-21|W|941671|626907|1568578
2007-06-22|W|915690|623048|1538738
2007-06-23|A|576598|336644|913242
2007-06-24|U|451145|346881|798026
2007-06-25|W|922491|619299|1541790
2007-06-26|W|887917|623390|1511307
2007-06-27|W|905210|627568|1532778
2007-06-28|W|927302|620611|1547913
2007-06-29|W|968906|708650|1677556
2007-06-30|A|680629|447188|1127817
2007-07-01|U|495101|354648|849749
2007-07-02|W|955129|644079|1599208
2007-07-03|W|1048504|848262|1896766
2007-07-04|U|486961|349716|836677
2007-07-05|W|933153|655871|1589024
2007-07-06|W|956208|696508|1652716
2007-07-07|A|640418|398525|1038943
2007-07-08|U|443791|287948|731739
2007-07-09|W|896820|587889|1484709
2007-07-10|W|939774|610001|1549775
2007-07-11|W|973860|629790|1603650
2007-07-12|W|962640|631002|1593642
2007-07-13|W|956346|676306|1632652
2007-07-14|A|687968|383132|1071100
2007-07-15|U|489228|289728|778956
2007-07-16|W|939642|627282|1566924
2007-07-17|W|945057|637429|1582486
2007-07-18|W|939708|654848|1594556
2007-07-19|W|935717|648112|1583829
2007-07-20|W|959207|655992|1615199
2007-07-21|A|685445|366356|1051801
2007-07-22|U|480317|266827|747144
2007-07-23|W|937452|613805|1551257
2007-07-24|W|935763|624166|1559929
2007-07-25|W|939278|626658|1565936
2007-07-26|W|919288|624338|1543626
2007-07-27|W|923332|625772|1549104
2007-07-28|A|641760|380163|1021923
2007-07-29|U|457951|272684|730635
2007-07-30|W|917757|620439|1538196
2007-07-31|W|946285|637331|1583616
2007-08-01|W|974958|643448|1618406
2007-08-02|W|944912|650901|1595813
2007-08-03|W|976842|692273|1669115
2007-08-04|A|646378|422115|1068493
2007-08-05|U|457228|332786|790014
2007-08-06|W|908881|591244|1500125
2007-08-07|W|930259|609984|1540243
2007-08-08|W|911127|598593|1509720
2007-08-09|W|921233|610768|1532001
2007-08-10|W|942284|617817|1560101
2007-08-11|A|710009|379200|1089209
2007-08-12|U|472709|262521|735230
2007-08-13|W|901029|574616|1475645
2007-08-14|W|905711|605080|1510791
2007-08-15|W|906121|603458|1509579
2007-08-16|W|910468|620464|1530932
2007-08-17|W|940525|629675|1570200
2007-08-18|A|613516|367895|981411
2007-08-19|U|384648|241159|625807
2007-08-20|W|869663|597026|1466689
2007-08-21|W|927597|600468|1528065
2007-08-22|W|929593|601469|1531062
2007-08-23|W|848806|578731|1427537
2007-08-24|W|886880|605153|1492033
2007-08-25|A|660678|362365|1023043
2007-08-26|U|491356|274617|765973
2007-08-27|W|952232|609440|1561672
2007-08-28|W|986289|648482|1634771
2007-08-29|W|961627|640436|1602063
2007-08-30|W|968474|666661|1635135
2007-08-31|W|1012720|674373|1687093
2007-09-01|A|697334|412998|1110332
2007-09-02|U|506887|328760|835647
2007-09-03|U|461629|275023|736652
2007-09-04|W|1096027|666200|1762227
2007-09-05|W|1097897|689499|1787396
2007-09-06|W|1068817|689347|1758164
2007-09-07|W|1043967|668804|1712771
2007-09-08|A|700510|374022|1074532
2007-09-09|U|484803|266371|751174
2007-09-10|W|1072218|676612|1748830
2007-09-11|W|1108582|679973|1788555
2007-09-12|W|1090043|680733|1770776
2007-09-13|W|1073415|664991|1738406
2007-09-14|W|1070397|669129|1739526
2007-09-15|A|642789|378741|1021530
2007-09-16|U|455579|272814|728393
2007-09-17|W|1080112|675627|1755739
2007-09-18|W|1104193|689330|1793523
2007-09-19|W|1098945|692726|1791671
2007-09-20|W|1085299|682588|1767887
2007-09-21|W|1077275|697999|1775274
2007-09-22|A|678534|361587|1040121
2007-09-23|U|481232|269325|750557
2007-09-24|W|1065887|649262|1715149
2007-09-25|W|1064946|664976|1729922
2007-09-26|W|1009515|660197|1669712
2007-09-27|W|1093222|675936|1769158
2007-09-28|W|1080223|680820|1761043
2007-09-29|A|678705|358750|1037455
2007-09-30|U|463947|239074|703021
2007-10-01|W|1088750|652510|1741260
2007-10-02|W|1129578|669817|1799395
2007-10-03|W|1141300|678734|1820034
2007-10-04|W|1121496|682778|1804274
2007-10-05|W|1108038|681736|1789774
2007-10-06|A|693470|430713|1124183
2007-10-07|U|450253|394647|844900
2007-10-08|W|857090|563619|1420709
2007-10-09|W|1119151|673318|1792469
2007-10-10|W|1075443|666054|1741497
2007-10-11|W|1080412|674960|1755372
2007-10-12|W|1081900|669582|1751482
2007-10-13|A|657864|338481|996345
2007-10-14|U|452914|234730|687644
2007-10-15|W|1087003|651751|1738754
2007-10-16|W|1084935|664961|1749896
2007-10-17|W|1096384|668523|1764907
2007-10-18|W|1056395|666975|1723370
2007-10-19|W|974134|654836|1628970
2007-10-20|A|731918|352442|1084360
2007-10-21|U|499779|243884|743663
2007-10-22|W|1056369|648233|1704602
2007-10-23|W|1088752|662913|1751665
2007-10-24|W|1080803|662981|1743784
2007-10-25|W|1072949|672155|1745104
2007-10-26|W|1061706|659354|1721060
2007-10-27|A|678861|330492|1009353
2007-10-28|U|472765|233248|706013
2007-10-29|W|1049394|639837|1689231
2007-10-30|W|1088015|654838|1742853
2007-10-31|W|1036100|646598|1682698
2007-11-01|W|1102515|662120|1764635
2007-11-02|W|1019370|640204|1659574
2007-11-03|A|718550|331447|1049997
2007-11-04|U|491005|224395|715400
2007-11-05|W|1074116|645467|1719583
2007-11-06|W|1063193|655389|1718582
2007-11-07|W|1010629|643227|1653856
2007-11-08|W|1058758|663386|1722144
2007-11-09|W|1038131|658500|1696631
2007-11-10|A|699360|323757|1023117
2007-11-11|U|462568|216467|679035
2007-11-12|W|843086|551847|1394933
2007-11-13|W|1095253|660671|1755924
2007-11-14|W|1073985|652294|1726279
