Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion,Incidencias
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073.0,Boeing 747,35378.8344,224.0,Sin incidencias
Tab_LoLo_10747,TabarAir,Londres,Los Angeles,8785.0,Boeing 747,93648.1,605.0,Sin incidencias
Fly_BaRo_11320,FlyQ,Barcelona,Roma,859.0,Airbus A320,2307.0163,82.0,Incidencia en el sistema de entretenimiento
Pam_LoPa_10737,PamPangea,Londres,París,344.0,Boeing 737,877.7160000000001,46.0,Amenaza de seguridad a bordo
Pam_MePa_10747,PamPangea,Melbourne,París,,Boeing 747,195142.8128,1328.0,Condiciones meteorológicas turbias
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383.0,Boeing 737,32546.090304,,Sin incidencias
Mol_BaCi_11380,MoldaviAir,Bali,Cincinnati,15011.0,Airbus A380,194905.706112,1200.0,Sin incidencias
Fly_BaGi_11380,FlyQ,Bali,Ginebra,12383.0,Airbus A380,148873.3792,845.0,Sin incidencias
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553.0,Airbus A380,,856.0,Sin incidencias
Air_LoGi_10737,Airnar,Los Angeles,GinEbra,,Boeing 737,22783.8987,,Ave impacta con el avión
Pam_NuPa_11320,PamPangea,Nueva York,París,5835.0,Airbus A320,16145.58504,542.0,Mal funcionamiento del tren de aterrizaje
Tab_LoGi_11380,TabarAir,Los Angeles,Ginebra,9103.0,Airbus A380,111544.5208,,Mal funcionamiento del tren de aterrizaje
Tab_LoNu_11380,TabarAir,Londres,Nueva York,5566.0,Airbus A380,70133.8264,391.0,Inundación a bordo
Air_CiLo_11380,Airnar,Cincinnati,Los Angeles,,Airbus A380,39076.26800000001,224.0,Sin incidencias
Air_GiBa_10747,Airnar,Ginebra,Bali,12383.0,Boeing 747,133322.8078,845.0,"Incidencias de navegación,"
Mol_MeLo_10747,MoldaviAir,Melbourne,Londres,16900.0,Boeing 747,198601.7696,1326.0,Emergencia de los sistemas de comunicación
Pam_MePa_10737,PamPangea,Melbourne,París,,Boeing 737,44483.7744,1485.0,Incidencias de navegación
Tab_RoLo_11320,TabarAir,Roma,Los Angeles,,Airbus A320,,850.0,Enfrentamiento a bordo
Fly_RoNu_10737,FlyQ,Roma,Nueva York,6877.0,Boeing 737,16878.2211,542.0,Aterrizaje de emergencia
Pam_GiBa_11380,PamPangea,Ginebra,Bali,12383.0,Airbus A380,154599.2784,845.0,Emergencia médica a bordo
Fly_RoCi_10737,FlyQ,Roma,Cincinnati,,Boeing 737,19266.984,588.0,Fallo grave de los sistemas de comunicación
Tab_RoGi_11380,TabarAir,Roma,Ginebra,698.0,Airbus A380,8310.9464,66.0,Sin incidencias
Mol_LoMe_10747,MoldaviAir,Londres,Melbourne,16900.0,Boeing 747,202348.9728,1326.0,Sin incidencias
Mol_PaMe_10737,MoldaviAir,París,Melbourne,16925.0,Boeing 737,44056.04580000001,1485.0,Incidencias con el catering
Tab_NuRo_10747,TabarAir,Nueva York,Roma,6877.0,Boeing 747,"76241,17280000001",478.0,Ave impacta con el avión
Mol_MePa_10747,MoldaviAir,Melbourne,París,16925.0,Boeing 747,191390.0664,1328.0,Despresurización de la cabina
Mol_MeCa_11380,MoldaviAir,Melbourne,Cádiz,20029.0,Airbus A380,264876.3145600001,1535.0,Sin incidencias
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566.0,Boeing 737,14877.918,,Aterrizaje de emergencia
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674.0,Airbus A380,,1311.0,Inundación entre pasajeros
Tab_NuGi_11380,TabarAir,Nueva York,Ginebra,6206.0,Airbus A380,,433.0,Sin incidencias
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073.0,Boeing 747,36033.998,224.0,Complicaciones con el catering y Ave impacta con el avión
Mol_LoPa_10747,MoldaviAir,Londres,París,344.0,Boeing 747,3740.3808,,Mal funcionamiento del tren de aterrizaje
Tab_GiCi_11320,TabarAir,Ginebra,Cincinnati,6969.0,Airbus A320,19829.146584,624.0,Sin incidencias
Mol_CaMe_11380,MoldaviAir,Cádiz,Melbourne,,Airbus A380,264876.3145600001,1535.0,Sin incidencias
Pam_NuGi_11380,PamPangea,Nueva York,Ginebra,6206.0,Airbus A380,75328.428,433.0,Problema de los sistemas hidráulicos
Tab_GiLo_11380,TabarAir,Ginebra,Londres,739.0,Airbus A380,8799.1252,69.0,Sin incidencias
Fly_BaNu_11380,FlyQ,Bali,Nueva York,16589.0,Airbus A380,"211405,969216",1305.0,Sin incidencias
Tab_CiLo_11320,TabarAir,Cincinnati,Londres,6284.0,Airbus A320,"16731,828672",575.0,Problemas de navegación
Mol_MeLo_11380,MoldaviAir,Melbourne,Londres,16900.0,Airbus A380,211305.7024,1326.0,Mal funcionamiento del tren de aterrizaje
Mol_BaPa_11380,MoldaviAir,Bali,París,11980.0,Airbus A380,"148183,016",818.0,Sin incidencias
Mol_PaMe_11380,MoldaviAir,París,Melbourne,16925.0,Airbus A380,207548.7024,,Sin incidencias
Fly_NuGi_10737,FlyQ,Nueva York,Ginebra,6206.0,Boeing 737,15683.8032,491.0,Problema de los sistemas de comunicación
Pam_NuGi_10737,PamPangea,Nueva York,Ginebra,6206.0,Boeing 737,15532.9974,491.0,Enfrentamiento entre pasajeros
Mol_LoCa_10737,MoldaviAir,Londres,Cádiz,1716.0,Boeing 737,,150.0,Incidencias de navegación
Fly_BaNu_10747,FlyQ,Barcelona,Nueva York,6170.0,Boeing 747,66429.92199999999,431.0,Sin incidencias
Air_GiPa_11320,Airnar,Ginebra,París,,Airbus A320,1124.4549,49.0,Incidencias con las puertas o ventanas y Problemas con el suministro de combustible
Tab_CiGi_11380,TabarAir,Cincinnati,Ginebra,6969.0,Airbus A380,85395.33840000001,484.0,Sin incidencias
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,,Boeing 747,107420.82,691.0,Complicaciones con el catering
Pam_NuBa_10747,PamPangea,Nueva York,Bali,16589.0,Boeing 747,185751.412496,1305.0,Ave impacta con el avión
Pam_MeLo_11380,PamPangea,Melbourne,Londres,16900.0,Airbus A380,215369.2736,1326.0,Despresurización de la cabina
Air_PaCa_10747,Airnar,París,Cádiz,1447.0,Boeing 747,15425.02,116.0,Fallo grave de los sistemas hidráulicos
Pam_PaNu_10737,PamPangea,París,Nueva York,5835.0,Boeing 737,15171.5835,,Sin incidencias
Pam_BaNu_11380,PamPangea,Bali,Nueva York,16589.0,Airbus A380,219383.55296,1305.0,Sin incidencias
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566.0,Boeing 737,13795.8876,442.0,Sin incidencias
Pam_GiBa_11380,PamPangea,Ginebra,Bali,12383.0,Airbus A380,,845.0,Sin incidencias
Pam_GiPa_11320,PamPangea,Ginebra,París,411.0,Airbus A320,1083.1905,49.0,Incidencia en el sistema de entretenimiento
Fly_BaCi_10747,FlyQ,Bali,Cincinnati,15011.0,Boeing 747,181395.565936,1200.0,Sin incidencias
Air_PaBa_10737,Airnar,París,Bali,11980.0,Boeing 737,30881.37312,1029.0,Fallo leve de los sistemas de comunicación
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785.0,Airbus A320,,756.0,Incidencias de navegación y Problemas con el catering
Fly_NuRo_10747,FlyQ,Nueva York,Roma,6877.0,Boeing 747,78440.43740000001,478.0,Sin incidencias
Air_CaCi_11380,Airnar,Cádiz,Cincinnati,6624.0,Airbus A380,83465.04960000001,461.0,Sin incidencias
Mol_PaLo_10737,MoldaviAir,París,Londres,344.0,Boeing 737,835.9200000000001,46.0,Emergencia médica a bordo y Problemas con el catering
Mol_PaCi_11380,MoldaviAir,París,Cincinnati,6370.0,Airbus A380,75846.316,444.0,Amenaza de seguridad a bordo
Mol_MeLo_11380,MoldaviAir,Melbourne,Londres,16900.0,Airbus A380,207242.1312,1326.0,Condiciones meteorológicas turbias
Air_PaBa_11380,Airnar,París,Bali,,Airbus A380,142643.464,818.0,Sin incidencias
Pam_MePa_11380,PamPangea,Melbourne,París,16925.0,Airbus A380,207548.7024,1328.0,Fallo leve de los sistemas hidráulicos
Fly_BaGi_10737,FlyQ,Barcelona,Ginebra,,Boeing 737,1716.066,70.0,Sin incidencias
Mol_MeCi_11380,MoldaviAir,Melbourne,Cincinnati,15262.0,Airbus A380,,1217.0,"Problema del motor,"
Tab_LoCi_10737,TabarAir,Los Angeles,Cincinnati,3073.0,Boeing 737,7840.759500000001,,Sin incidencias
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170.0,Boeing 747,66429.92199999999,431.0,Problema de los sistemas de comunicación
Air_CiBa_10737,Airnar,Cincinnati,Bali,15011.0,Boeing 737,40211.94715200001,1340.0,Sin incidencias
Pam_MeGi_10737,PamPangea,Melbourne,Ginebra,16674.0,Boeing 737,"46352,38608000001",1466.0,Sin incidencias
Mol_LoBa_10747,MoldaviAir,Londres,Bali,12553.0,Boeing 747,"133814,98",,Sin incidencias
Mol_MeBa_10737,MoldaviAir,Melbourne,Bali,2779.0,Boeing 737,7225.677900000001,,Sin incidencias
Pam_LoBa_10747,PamPangea,Londres,Bali,12553.0,Boeing 747,144520.1784,856.0,Sin incidencias
Mol_PaBa_11380,MoldaviAir,París,Bali,11980.0,Airbus A380,142643.464,818.0,Sin incidencias
Tab_RoLo_10737,TabarAir,Roma,Los Angeles,10077.0,Boeing 737,25221.7233,785.0,Sin incidencias
Tab_NuGi_11320,TabarAir,Nueva York,GiNEbRa,6206.0,Airbus A320,17172.150944,569.0,Emergencia médica a bordo y Incendio a bordo
Pam_LoPa_11380,PamPangea,Londres,París,344.0,Airbus A380,"4175,472000000001",42.0,Mal funcionamiento del tren de aterrizaje
Tab_LoLo_10747,TabarAir,Los Angeles,Londres,8785.0,Boeing 747,,605.0,Amenaza de seguridad a bordo y Problemas con el suministro de combustible
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969.0,Boeing 747,,484.0,Sin incidencias
Fly_BaBa_10737,FlyQ,Bali,Barcelona,13058.0,Boeing 737,33330.17937600001,1191.0,"Fallo grave de los sistemas de comunicación,"
Mol_PaCa_11320,MoldaviAir,París,Cádiz,1447.0,Airbus A320,3922.5276,124.0,Sin incidencias
Tab_LoNu_11380,TabarAir,Los Angeles,Nueva York,3944.0,Airbus A380,"47872,272",282.0,Turbulencia severa
Tab_CiNu_10747,TabarAir,Cincinnati,Nueva York,911.0,Boeing 747,10488.1608,80.0,Sin incidencias
Pam_MePa_10747,PamPangea,Melbourne,París,,Boeing 747,193266.4396,1328.0,Sin incidencias
Fly_BaGi_11380,FlyQ,Barcelona,Ginebra,660.0,Airbus A380,,64.0,Sin incidencias
Pam_PaNu_11320,PamPangea,París,Nueva York,5835.0,Airbus A320,15231.684,542.0,Sin incidencias
Mol_LoBa_10747,MoldaviAir,Londres,Bali,,Boeing 747,140505.729,856.0,Aterrizaje de emergencia
Air_BaPa_10747,Airnar,Bali,París,11980.0,Boeing 747,128983.868,818.0,Condiciones meteorológicas adversas
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206.0,Boeing 747,70786.87720000002,433.0,Fallo eléctrico general
Air_BaPa_11380,Airnar,Bali,París,11980.0,Airbus A380,146798.128,,Mal funcionamiento del tren de aterrizaje
Pam_PaMe_10737,PamPangea,París,Melbourne,16925.0,Boeing 737,43200.5886,1485.0,Discusión entre pasajeros
Fly_RoBa_10747,FlyQ,Roma,Barcelona,859.0,Boeing 747,,77.0,Sin incidencias
Fly_GiCi_11320,FlyQ,Ginebra,Cincinnati,,Airbus A320,18555.715152,624.0,Complicaciones de navegación
Mol_BaLo_10747,MoldaviAir,Bali,Londres,12553.0,Boeing 747,141843.8788,856.0,Enfrentamiento entre pasajeros
Fly_BaNu_11380,FlyQ,Bali,Nueva York,16589.0,Airbus A380,217389.157024,1305.0,Sin incidencias
Tab_NuRo_10747,TabarAir,Nueva York,Roma,6877.0,Boeing 747,77707.34920000001,,Turbulencia severa
Fly_CiGi_10737,FlyQ,Cincinnati,GINebra,6969.0,Boeing 737,17781.4035,549.0,Sin incidencias
Mol_CaPa_10747,MoldaviAir,Cádiz,París,1447.0,Boeing 747,15887.7706,116.0,Sin incidencias
Mol_LoCa_10747,MoldaviAir,Londres,Cádiz,1716.0,Boeing 747,19755.9648,134.0,Emergencia médica a bordo
Mol_MeCi_10737,MoldaviAir,Melbourne,Cincinnati,15262.0,Boeing 737,39341.52892800001,1359.0,Sin incidencias
Mol_CiMe_11380,MoldaviAir,Cincinnati,Melbourne,15262.0,Airbus A380,199999.596992,1217.0,Despresurización de la cabina
Mol_PaMe_10737,MoldaviAir,París,MeLboURnE,,Boeing 737,,1485.0,Sin incidencias
Mol_BaPa_11380,MoldaviAir,Bali,París,11980.0,Airbus A380,,818.0,Sin incidencias
Pam_LoNu_11320,PamPangea,Londres,Nueva York,,Airbus A320,15546.550448,,Sin incidencias
Tab_LoGi_10737,TabarAir,Londres,Ginebra,739.0,Boeing 737,1831.6854,,Retraso extenso en la pista de despegue
Tab_RoCi_10737,TabarAir,Roma,Cincinnati,7480.0,Boeing 737,18539.928,588.0,Discusión entre pasajeros
Fly_NuCi_10747,FlyQ,Nueva York,Cincinnati,911.0,Boeing 747,10682.386,80.0,Sin incidencias
Fly_NuBa_10747,FlyQ,Nueva York,Barcelona,6170.0,Boeing 747,69718.532,431.0,Sin incidencias
Air_PaBa_11380,Airnar,París,Bali,,Airbus A380,,818.0,Sin incidencias
Air_GiPa_11380,Airnar,Ginebra,París,411.0,Airbus A380,4893.6948,47.0,Sambódromo a bordo y Conflictos entre pasajeros
Mol_BaCa_11380,MoldaviAir,Bali,Cádiz,12798.0,Airbus A380,,873.0,Fallo en el sistema de entretenimiento
Mol_PaCa_10737,MoldaviAir,París,Cádiz,1447.0,Boeing 737,3516.21,129.0,Turbulencia severa
Tab_LoGi_11380,TabarAir,Londres,GinebrA,739.0,Airbus A380,8799.1252,69.0,Problema de los sistemas de comunicación
Pam_LoPa_11320,PamPangea,Londres,París,344.0,Airbus A320,949.784,44.0,Incidencia del motor
Mol_LoPa_11380,MoldaviAir,Londres,París,344.0,Airbus A380,4255.004800000001,42.0,Sin incidencias
Tab_CiNu_10737,TabarAir,Cincinnati,Nueva York,,Boeing 737,2412.9657,89.0,Sin incidencias
Pam_GiMe_10737,PamPangea,Ginebra,Melbourne,16674.0,Boeing 737,45509.615424,1466.0,Sin incidencias
Fly_BaBa_11380,FlyQ,Bali,Barcelona,13058.0,Airbus A380,169547.579136,1070.0,Sin incidencias
Tab_RoLo_10737,TabarAir,Roma,Los Angeles,10077.0,Boeing 737,25221.7233,785.0,"Problemas con el catering,"
Air_PaGi_10737,Airnar,París,GINEbRa,411.0,Boeing 737,"1068,6411",51.0,Sin incidencias
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553.0,Airbus A380,148014.9336,856.0,Aterrizaje de emergencia
Air_PaBa_10747,Airnar,París,Bali,,Boeing 747,134092.14,818.0,Fallo grave eléctrico general
Pam_BaLo_10737,PamPangea,Bali,Londres,12553.0,Boeing 737,32992.899264,1153.0,"Problemas de navegación,"
Pam_PaGi_11320,PamPangea,París,GiNebrA,411.0,Airbus A320,1072.8744,49.0,Amenaza de seguridad a bordo
Air_CiLo_10747,Airnar,Cincinnati,Los Angeles,3073.0,Boeing 747,,224.0,Sin incidencias
Pam_MeLo_11380,PamPangea,Melbourne,Londres,16900.0,Airbus A380,223496.416,1326.0,Emergencia en el sistema de entretenimiento y Mal funcionamiento del tren de aterrizaje
Air_PaCi_10737,Airnar,París,Cincinnati,6370.0,Boeing 737,16407.846,503.0,Sin incidencias
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,6969.0,Airbus A320,20011.06536,624.0,Sin incidencias
Tab_LoRo_10747,TabarAir,Los Angeles,Roma,10077.0,Boeing 747,111717.6528,691.0,Retraso extenso en la pista de despegue
Pam_BaGi_10747,PamPangea,Bali,Ginebra,12383.0,Boeing 747,"143883,0302",845.0,Sin incidencias
Pam_GiLo_11380,PamPangea,Ginebra,Londres,739.0,Airbus A380,,69.0,Incidencia de los sistemas hidráulicos
Fly_BaNu_11320,FlyQ,Barcelona,Nueva York,,Airbus A320,"17555,72312",567.0,Mal funcionamiento del tren de aterrizaje
Tab_NuGi_11380,TabarAir,Nueva York,Ginebra,6206.0,Airbus A380,75328.428,433.0,Fallo de los sistemas hidráulicos
Mol_BaPa_10737,MoldaviAir,Bali,París,11980.0,Boeing 737,,1029.0,Enfrentamiento entre pasajeros
Pam_MePa_10737,PamPangea,Melbourne,París,16925.0,Boeing 737,43628.3172,1485.0,Sin incidencias
Mol_BaMe_10737,MoldaviAir,Bali,Melbourne,2779.0,Boeing 737,6955.5591,,Sin incidencias
Tab_NuLo_10737,TabarAir,Nueva York,Los Angeles,,Boeing 737,9583.92,319.0,Sin incidencias
Tab_LoCi_10747,TabarAir,Los Angeles,Cincinnati,3073.0,Boeing 747,,,Emergencia médica a bordo
Tab_NuLo_10747,TabarAir,Nueva York,Los Angeles,3944.0,Boeing 747,45826.91360000001,282.0,Condiciones meteorológicas malas y Emergencia médica a bordo
Pam_MePa_11380,PamPangea,Melbourne,París,,Airbus A380,213653.076,,Sin incidencias
Tab_LoGi_10737,TabarAir,Londres,Ginebra,739.0,Boeing 737,1849.6431,76.0,Sin incidencias
Tab_NuGi_10747,TabarAir,Nueva York,Ginebra,6206.0,Boeing 747,68140.63880000002,433.0,Sin incidencias
Air_BaCi_11380,Airnar,Bali,Cincinnati,15011.0,Airbus A380,,1200.0,Incidencia en el sistema de entretenimiento
Air_CaGi_10747,Airnar,Cádiz,Ginebra,1725.0,Boeing 747,18940.155,135.0,Emergencia grave de los sistemas hidráulicos
Pam_PaGi_11320,PamPangea,París,Ginebra,411.0,Airbus A320,"1103,8227",49.0,Condiciones meteorológicas ligeramente complejas
Tab_NuRo_11320,TabarAir,Nueva York,Roma,6877.0,Airbus A320,19208.341256,618.0,Complicaciones con las puertas o ventanas
Pam_LoNu_10747,PamPangea,Londres,Nueva York,5566.0,Boeing 747,,,Emergencia en el sistema de entretenimiento
Air_GiCi_10747,Airnar,Ginebra,Cincinnati,6969.0,Boeing 747,78746.91240000002,484.0,Sin incidencias
Mol_PaCa_11320,MoldaviAir,París,Cádiz,1447.0,Airbus A320,3704.6094,124.0,Turbulencia severa
Pam_BaMe_10747,PamPangea,Bali,Melbourne,2779.0,Boeing 747,"32290,3126",205.0,Sin incidencias
Fly_CiNu_11380,FlyQ,Cincinnati,Nueva York,911.0,Airbus A380,11268.3412,80.0,Complicaciones con el suministro de combustible
Tab_LoNu_10737,TabarAir,Londres,Nueva York,5566.0,Boeing 737,14742.6642,442.0,Sin incidencias
Pam_BaNu_10737,PamPangea,Bali,Nueva York,16589.0,Boeing 737,45277.61846400001,1459.0,Sin incidencias
Mol_PaMe_10747,MoldaviAir,París,Melbourne,,Boeing 747,,1328.0,Sin incidencias
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011.0,Boeing 747,166417.9504,,Sin incidencias
Fly_CiNu_10737,FlyQ,Cincinnati,Nueva York,911.0,Boeing 737,2302.2792,89.0,Sin incidencias
Air_GiBa_11380,Airnar,Ginebra,Bali,12383.0,Airbus A380,150304.854,,Sin incidencias
Pam_GiNu_11320,PamPangea,Ginebra,Nueva York,6206.0,Airbus A320,16200.1424,569.0,Mal funcionamiento del tren de aterrizaje
Mol_LoMe_10737,MoldaviAir,Londres,Melbourne,16900.0,Boeing 737,44845.164,1483.0,Incidencias con el suministro de combustible
Mol_BaCa_10737,MoldaviAir,Bali,Cádiz,12798.0,Boeing 737,"34930,55404800001",1171.0,Emergencia médica a bordo
Air_PaLo_10737,Airnar,París,Los Angeles,9099.0,Boeing 737,,711.0,Sin incidencias
Tab_GiRo_10737,TabarAir,Ginebra,Roma,698.0,Boeing 737,1865.754,73.0,Mal funcionamiento del tren de aterrizaje
Fly_BaRo_11380,FlyQ,Bali,Roma,12738.0,Airbus A380,157558.8696,869.0,Ave impacta con el avión
Pam_GiLo_11320,PamPangea,Ginebra,Londres,739.0,Airbus A320,1966.1834,,Emergencia médica a bordo
Air_BaGi_11380,Airnar,Bali,Ginebra,12383.0,Airbus A380,151736.3288,845.0,Sin incidencias
Pam_PaGi_10747,PamPangea,París,GInEbRa,,Boeing 747,,,Sin incidencias
Pam_LoPa_10737,PamPangea,Londres,París,344.0,Boeing 737,886.0752000000001,46.0,Sin incidencias
Mol_MeCi_11380,MoldaviAir,Melbourne,Cincinnati,15262.0,Airbus A380,"198164,738304",1217.0,Sin incidencias
Mol_LoBa_11380,MoldaviAir,Londres,Bali,12553.0,Airbus A380,149466.0604,856.0,Amenaza de seguridad a bordo
Fly_BaRo_10747,FlyQ,Bali,Roma,12738.0,Boeing 747,,,Emergencia médica a bordo y Problemas con las puertas o ventanas
Tab_GiLo_10747,TabarAir,Ginebra,Los Angeles,9103.0,Boeing 747,106741.778,626.0,Fallo de los sistemas de comunicación
Pam_GiBa_10737,PamPangea,Ginebra,Bali,12383.0,Boeing 737,32233.147128,1140.0,Sin incidencias
Mol_MeBa_10737,MoldaviAir,Melbourne,Bali,2779.0,Boeing 737,6955.5591,231.0,Emergencia médica a bordo
Pam_BaLo_11380,PamPangea,Bali,Londres,12553.0,Airbus A380,145112.68,856.0,Complicaciones con el suministro de combustible
Pam_GiNu_11380,PamPangea,Ginebra,Nueva York,6206.0,Airbus A380,76763.2552,433.0,Sin incidencias
Fly_RoNu_11380,FlyQ,Roma,Nueva York,6877.0,Airbus A380,85062.98840000002,478.0,Sin incidencias
Pam_NuBa_10747,PamPangea,Nueva York,Bali,,Boeing 747,187590.535392,1305.0,Sin incidencias
Mol_CaLo_10737,MoldaviAir,Cádiz,Londres,1716.0,Boeing 737,4461.7716,150.0,Fallo leve del motor
Pam_PaGi_10737,PamPangea,París,Ginebra,411.0,Boeing 737,1008.7173,51.0,Turbulencia severa
Tab_LoGi_11320,TabarAir,Los Angeles,GINEBra,9103.0,Airbus A320,25425.844184,779.0,Fallo de los sistemas hidráulicos
Pam_BaMe_10747,PamPangea,Bali,Melbourne,2779.0,Boeing 747,31697.8298,205.0,Turbulencia severa
Fly_BaRo_10747,FlyQ,Bali,Roma,12738.0,Boeing 747,141218.5632,1049.0,Mal funcionamiento del tren de aterrizaje
Pam_MeBa_11320,PamPangea,Melbourne,Bali,2779.0,Airbus A320,7603.066099999999,221.0,Incidencia del motor
Tab_GiRo_10737,TabarAir,Ginebra,Roma,698.0,Boeing 737,,73.0,Sin incidencias
Fly_RoBa_10747,FlyQ,Roma,Bali,12738.0,Boeing 747,"155340,41952",1049.0,Complicaciones de navegación
Mol_CiPa_10737,MoldaviAir,Cincinnati,París,6370.0,Boeing 737,16872.219,503.0,Sin incidencias
Fly_NuBa_11380,FlyQ,Nueva York,Bali,16589.0,Airbus A380,,1305.0,Retraso extenso en la pista de despegue
Mol_PaBa_10737,MoldaviAir,París,Bali,11980.0,Boeing 737,32395.16592000001,1029.0,"Mal funcionamiento del tren de aterrizaje,"
Mol_BaPa_10747,MoldaviAir,Bali,París,,Boeing 747,140477.48,,Sin incidencias
Mol_PaCi_10737,MoldaviAir,París,Cincinnati,6370.0,Boeing 737,15479.1,503.0,Condiciones meteorológicas adversas
Fly_BaRo_11380,FlyQ,Bali,Roma,12738.0,Airbus A380,161976.408,869.0,Mal funcionamiento del tren de aterrizaje
Fly_GiCi_11380,FlyQ,Ginebra,Cincinnati,6969.0,Airbus A380,86200.9548,484.0,Sin incidencias
Mol_MeBa_11380,MoldaviAir,Melbourne,Bali,,Airbus A380,34374.0068,205.0,Discusión a bordo
Mol_PaBa_11380,MoldaviAir,París,Bali,11980.0,Airbus A380,138488.8,818.0,Sin incidencias
Pam_MeLo_10747,PamPangea,Melbourne,Londres,16900.0,Boeing 747,"204222,5744",1326.0,Sin incidencias
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082.0,Boeing 747,,1272.0,Sin incidencias
Air_LoCi_11380,Airnar,Los Angeles,Cincinnati,3073.0,Airbus A380,35879.1188,,Sin incidencias
Mol_CiCa_10747,MoldaviAir,Cincinnati,Cádiz,6624.0,Boeing 747,76260.7872,461.0,Sin incidencias
Mol_MeCa_10747,MoldaviAir,Melbourne,Cádiz,,Boeing 747,,,Ave impacta con el avión
Mol_BaMe_10737,MoldaviAir,Bali,MELboURnE,2779.0,Boeing 737,,231.0,Sin incidencias
Tab_RoNu_11380,TabarAir,Roma,Nueva York,6877.0,Airbus A380,86652.95080000002,478.0,Mal funcionamiento del tren de aterrizaje
Air_GiPa_11320,Airnar,Ginebra,París,411.0,Airbus A320,1134.771,49.0,Mal funcionamiento del tren de aterrizaje
Fly_NuRo_10737,FlyQ,Nueva York,Roma,6877.0,Boeing 737,18215.1099,542.0,Fallo leve de los sistemas hidráulicos
Fly_NuRo_10737,FlyQ,Nueva York,Roma,6877.0,Boeing 737,"17713,7766",542.0,Amenaza de seguridad a bordo
Pam_BaPa_11380,PamPangea,Bali,París,11980.0,Airbus A380,150952.792,818.0,Sin incidencias
Air_CiGi_11380,Airnar,Cincinnati,Ginebra,6969.0,Airbus A380,81367.2564,484.0,Sin incidencias
Tab_GiLo_10747,TabarAir,Ginebra,Londres,739.0,Boeing 747,"8665,514000000001",69.0,Condiciones meteorológicas ligeramente complejas
Fly_NuCi_10737,FlyQ,Nueva York,Cincinnati,911.0,Boeing 737,2390.8284,89.0,Incidencia eléctrico general
Fly_RoNu_10747,FlyQ,Roma,Nueva York,6877.0,Boeing 747,77707.34920000001,478.0,Turbulencia severa
Tab_GiRo_10747,TabarAir,Ginebra,Roma,,Boeing 747,7440.68,66.0,Amenaza de seguridad a bordo
Tab_LoLo_11380,TabarAir,Los Angeles,Londres,8785.0,Airbus A380,101554.6,605.0,Sin incidencias
Mol_CiMe_10737,MoldaviAir,Cincinnati,MELBoURNe,15262.0,Boeing 737,39341.52892800001,1359.0,Sin incidencias
Mol_BaCi_10747,MoldaviAir,Bali,Cincinnati,15011.0,Boeing 747,179731.386432,1200.0,Turbulencia severa
Tab_LoGi_10747,TabarAir,Londres,Ginebra,739.0,Boeing 747,7956.5174,69.0,"Fallo eléctrico general,"
Pam_GiPa_11320,PamPangea,Ginebra,París,,Airbus A320,1083.1905,49.0,Problemas de navegación
Pam_NuGi_11380,PamPangea,Nueva York,Ginebra,6206.0,Airbus A380,,433.0,Sin incidencias
Mol_CiPa_11380,MoldaviAir,Cincinnati,París,6370.0,Airbus A380,78055.432,444.0,Sin incidencias
Fly_NuRo_10737,FlyQ,Nueva York,Roma,6877.0,Boeing 737,17212.4433,,Sin incidencias
Fly_GiNu_10747,FlyQ,Ginebra,Nueva York,6206.0,Boeing 747,66155.96,433.0,Sin incidencias
Pam_LoNu_11380,PamPangea,Londres,Nueva York,,Airbus A380,68203.53760000001,391.0,Problemas con el suministro de combustible
Mol_LoMe_10747,MoldaviAir,Londres,Melbourne,16900.0,Boeing 747,"198601,7696",1326.0,Sin incidencias
Air_CiGi_10747,Airnar,Cincinnati,Ginebra,,Boeing 747,,484.0,Incidencias con las puertas o ventanas
Air_BaLo_11380,Airnar,Bali,Los Angeles,12845.0,Airbus A380,149973.082,876.0,Enfrentamiento a bordo
Pam_BaLo_10737,PamPangea,Bali,Londres,12553.0,Boeing 737,34579.09634400001,1153.0,Sin incidencias
Mol_CaMe_10747,MoldaviAir,Cádiz,Melbourne,20029.0,Boeing 747,226490.495712,,Sin incidencias
Air_LoCi_10747,Airnar,Los Angeles,Cincinnati,3073.0,Boeing 747,32758.18,224.0,Sin incidencias
Pam_GiLo_10737,PamPangea,Ginebra,Londres,739.0,Boeing 737,1903.5162,,Sin incidencias
