Aircompany,Origen,Destino,Distancia,avion,con_escala,consumo_kg,duracion,ingresos,Id_vuelo,IC,Categoria_IC,Incidencias,Hora_Vuelo
TabarAir,Los Angeles,Nueva York,3944,Airbus A320,False,10790.3896,305,159835.37,Tab_LoNu_11320,2.7359,A,Fallo leve de los sistemas de comunicación y Amenaza de seguridad a bordo,17:30 18/08/2023
PamPangea,Bali,París,11980,Airbus A380,False,150952.792,818,747176.52,Pam_BaPa_11380,12.6004,C,Complicaciones con las puertas o ventanas,06:15 11/11/2023
PamPangea,Ginebra,Melbourne,16674,Boeing 747,True,194097.36528,1311,940192.56,Pam_GiMe_10747,11.64072,C,Sambódromo a bordo,10:15 06/06/2023
FlyQ,Nueva York,Roma,6877,Boeing 747,False,74041.9082,478,403437.73,Fly_NuRo_10747,10.7666,B,Problemas con el suministro de combustible,14:15 04/08/2023
TabarAir,Ginebra,Roma,698,Boeing 737,False,1747.0242,73,24339.59,Tab_GiRo_10737,2.5029,A,Fallo en el sistema de entretenimiento,17:30 17/10/2023
TabarAir,Ginebra,Los Angeles,9103,Boeing 737,False,22120.29,711,331029.59,Tab_GiLo_10737,2.43,A,Sin incidencias,14:00 20/01/2023
PamPangea,Londres,Bali,12553,Boeing 737,True,32992.899264,1153,461570.18,Pam_LoBa_10737,2.628288,A,Sin incidencias,08:15 20/05/2023
FlyQ,Ginebra,Nueva York,6206,Airbus A320,True,17010.14952,569,251019.75,Fly_GiNu_11320,2.74092,A,Aterrizaje de emergencia,07:30 11/05/2023
FlyQ,Nueva York,Bali,16589,Boeing 747,True,194947.026976,1305,941485.73,Fly_NuBa_10747,11.751584,C,Problema en el sistema de entretenimiento,16:45 18/01/2023
TabarAir,Nueva York,Ginebra,6206,Airbus A380,False,76763.2552,433,376024.98,Tab_NuGi_11380,12.3692,C,Sin incidencias,13:00 01/06/2023
Airnar,Ginebra,Los Angeles,9103,Boeing 737,False,23889.9132,711,326405.35,Air_GiLo_10737,2.6244,A,Sin incidencias,17:45 25/09/2023
FlyQ,Nueva York,Roma,6877,Airbus A320,True,18490.272424,618,265041.5,Fly_NuRo_11320,2.688712,A,Sin incidencias,23:30 10/11/2023
TabarAir,Ginebra,Londres,739,Boeing 737,False,1885.5585,76,26971.64,Tab_GiLo_10737,2.5515000000000003,A,Fallo eléctrico general y Fallo de los sistemas hidráulicos,08:45 23/02/2023
FlyQ,Nueva York,Ginebra,6206,Airbus A380,False,73176.1872,433,379321.71,Fly_NuGi_11380,11.7912,C,Inundación a bordo,13:00 13/05/2023
TabarAir,Londres,Nueva York,5566,Boeing 737,False,14472.1566,442,196377.75,Tab_LoNu_10737,2.6001,A,Aterrizaje de emergencia,07:00 16/02/2023
MoldaviAir,Bali,Cádiz,12798,Airbus A380,False,156821.5728,873,775561.08,Mol_BaCa_11380,12.2536,C,Sin incidencias,16:45 27/02/2023
MoldaviAir,Cincinnati,Cádiz,6624,Airbus A380,False,79636.3776,461,399927.63,Mol_CiCa_11380,12.0224,C,Incidencias con el suministro de combustible,22:45 18/08/2023
PamPangea,Bali,Londres,12553,Airbus A380,False,146563.8068,856,754703.0,Pam_BaLo_11380,11.6756,C,Sin incidencias,12:00 16/09/2023
FlyQ,Nueva York,Barcelona,6170,Boeing 747,False,71033.976,431,366565.91,Fly_NuBa_10747,11.5128,C,Sin incidencias,20:30 27/06/2023
MoldaviAir,Londres,Melbourne,16900,Airbus A380,True,213337.488,1326,1092709.68,Mol_LoMe_11380,12.62352,C,Sin incidencias,21:00 09/09/2023
PamPangea,Nueva York,Ginebra,6206,Airbus A320,True,17334.152368,569,248754.34,Pam_NuGi_11320,2.793128,A,Sin incidencias,23:00 01/03/2023
FlyQ,Roma,Cincinnati,7480,Boeing 747,False,79736.8,518,423347.48,Fly_RoCi_10747,10.66,B,Despresurización de la cabina y Fallo eléctrico general,08:00 09/08/2023
Airnar,París,Cádiz,1447,Airbus A380,False,17229.1396,116,92433.36,Air_PaCa_11380,11.9068,C,Sambódromo entre pasajeros,14:30 08/10/2023
TabarAir,Nueva York,Londres,5566,Airbus A320,True,15982.43504,523,222432.82,Tab_NuLo_11320,2.87144,A,Ave impacta con el avión,17:30 02/09/2023
FlyQ,Barcelona,Nueva York,6170,Boeing 747,False,70376.254,431,353260.31,Fly_BaNu_10747,11.4062,C,Despresurización de la cabina,19:00 10/07/2023
Airnar,Ginebra,París,411,Boeing 747,False,4468.885200000001,47,24361.82,Air_GiPa_10747,10.8732,B,Sin incidencias,08:30 26/09/2023
MoldaviAir,Bali,Melbourne,2779,Boeing 747,False,29624.14,205,161693.56,Mol_BaMe_10747,10.66,B,Problemas con el catering y Problemas de navegación,19:45 14/09/2023
MoldaviAir,Cádiz,Bali,12798,Airbus A380,False,147944.88,873,781656.34,Mol_CaBa_11380,11.56,C,Retraso extenso en la pista de despegue,19:45 23/10/2023
FlyQ,Cincinnati,Barcelona,6763,Boeing 747,False,72814.51580000001,470,415797.95,Fly_CiBa_10747,10.7666,B,Inundación entre pasajeros,12:30 16/04/2023
FlyQ,Roma,Nueva York,6877,Airbus A320,True,19387.858464,618,270457.15,Fly_RoNu_11320,2.819232,A,Problemas con las puertas o ventanas,09:00 10/02/2023
TabarAir,Los Angeles,Ginebra,9103,Boeing 737,False,24111.1161,711,332964.73,Tab_LoGi_10737,2.6487,A,Inundación entre pasajeros,12:15 04/07/2023
TabarAir,Ginebra,Cincinnati,6969,Boeing 747,False,75775.33080000001,484,414686.79,Tab_GiCi_10747,10.8732,B,Sin incidencias,10:00 21/05/2023
TabarAir,Ginebra,Nueva York,6206,Boeing 747,False,72771.55600000001,433,350374.6,Tab_GiNu_10747,11.726000000000004,C,Sin incidencias,06:00 29/03/2023
Airnar,Cádiz,París,1447,Airbus A380,False,17730.9592,116,94346.84,Air_CaPa_11380,12.2536,C,Problemas de navegación,21:15 15/09/2023
FlyQ,Bali,Nueva York,16589,Boeing 747,True,200464.395664,1305,978673.55,Fly_BaNu_10747,12.084176,C,Sin incidencias,19:30 07/10/2023
MoldaviAir,Londres,Cádiz,1716,Boeing 747,False,19024.2624,134,100056.73,Mol_LoCa_10747,11.0864,C,Enfrentamiento a bordo y Amenaza de seguridad a bordo,07:00 19/04/2023
MoldaviAir,Cincinnati,Melbourne,15262,Boeing 747,True,184428.694112,1217,858894.2,Mol_CiMe_10747,12.084176,C,Fallo del motor,20:30 08/04/2023
PamPangea,Bali,Melbourne,2779,Airbus A320,False,7254.301599999999,221,108115.02,Pam_BaMe_11320,2.6103999999999994,A,Sin incidencias,12:00 10/05/2023
FlyQ,Cincinnati,Ginebra,6969,Airbus A380,False,82978.4892,484,443739.94,Fly_CiGi_11380,11.9068,C,Sin incidencias,15:30 19/05/2023
TabarAir,Cincinnati,Nueva York,911,Boeing 737,False,2390.8284,89,31378.13,Tab_CiNu_10737,2.6244,A,Fallo grave de los sistemas hidráulicos,15:15 10/02/2023
MoldaviAir,Londres,Cincinnati,6284,Boeing 747,False,71006.6864,438,376421.17,Mol_LoCi_10747,11.299600000000002,C,Aterrizaje de emergencia,10:30 09/04/2023
Airnar,Los Angeles,Cincinnati,3073,Boeing 737,False,8139.455100000001,253,105371.44,Air_LoCi_10737,2.6487000000000003,A,Sin incidencias,07:30 20/04/2023
Airnar,París,Cincinnati,6370,Airbus A320,True,17792.22536,581,252378.09,Air_PaCi_11320,2.7931280000000003,A,Sin incidencias,16:45 03/07/2023
MoldaviAir,Londres,Cincinnati,6284,Airbus A320,True,17552.016352,575,253714.2,Mol_LoCi_11320,2.793128,A,Fallo leve de los sistemas de comunicación,07:00 03/02/2023
TabarAir,Ginebra,Cincinnati,6969,Boeing 747,False,80232.70320000002,484,428535.82,Tab_GiCi_10747,11.512800000000002,C,Sin incidencias,10:15 10/11/2023
MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,True,248020.549088,1535,1207389.56,Mol_MeCa_11380,12.383072,C,Sin incidencias,19:30 30/01/2023
FlyQ,Cincinnati,Nueva York,911,Boeing 747,False,10488.1608,80,51369.97,Fly_CiNu_10747,11.5128,C,Fallo grave en el sistema de entretenimiento,22:00 25/01/2023
MoldaviAir,Londres,Bali,12553,Boeing 747,False,139167.5792,856,746462.79,Mol_LoBa_10747,11.0864,C,Emergencia grave eléctrico general,17:45 08/02/2023
Airnar,Ginebra,París,411,Boeing 747,False,4425.0726,47,24336.11,Air_GiPa_10747,10.7666,B,Incidencias con el catering,20:15 12/07/2023
TabarAir,Roma,Londres,1433,Boeing 747,False,16803.358,115,81198.61,Tab_RoLo_10747,11.726,C,Problema eléctrico general,20:45 23/06/2023
MoldaviAir,Cincinnati,Melbourne,15262,Boeing 737,True,40498.63272,1359,523861.98,Mol_CiMe_10737,2.65356,A,Sin incidencias,10:15 01/05/2023
FlyQ,Barcelona,Bali,13058,Boeing 747,True,152004.52176,1070,794187.0,Fly_BaBa_10747,11.64072,C,Sin incidencias,16:15 12/01/2023
FlyQ,Barcelona,Ginebra,660,Boeing 737,False,1635.876,70,23970.31,Fly_BaGi_10737,2.4786,A,Turbulencia severa,15:30 10/10/2023
FlyQ,Barcelona,Cincinnati,6763,Airbus A320,True,18007.217904,610,272191.95,Fly_BaCi_11320,2.662608,A,Sin incidencias,15:15 11/02/2023
PamPangea,Bali,Ginebra,12383,Airbus A380,False,153167.8036,845,764459.79,Pam_BaGi_11380,12.3692,C,Sin incidencias,14:15 07/11/2023
MoldaviAir,Londres,Cádiz,1716,Airbus A320,False,4737.876,144,64843.91,Mol_LoCa_11320,2.761,A,Fallo de los sistemas de comunicación,21:30 24/10/2023
TabarAir,Nueva York,Londres,5566,Airbus A320,True,15255.96072,523,224803.23,Tab_NuLo_11320,2.74092,A,Ave impacta con el avión,19:15 09/03/2023
FlyQ,Nueva York,Barcelona,6170,Boeing 747,False,72349.42,431,356243.27,Fly_NuBa_10747,11.726,C,Sin incidencias,22:45 11/08/2023
Airnar,Cincinnati,Los Angeles,3073,Airbus A320,False,8484.553,242,117201.01,Air_CiLo_11320,2.761,A,Sin incidencias,19:30 07/05/2023
PamPangea,Ginebra,París,411,Airbus A320,False,1124.4549,49,16086.34,Pam_GiPa_11320,2.7359,A,Despresurización de la cabina,14:45 17/09/2023
Airnar,París,Cádiz,1447,Boeing 747,False,15733.5204,116,87430.74,Air_PaCa_10747,10.8732,B,Fallo grave de los sistemas hidráulicos,10:30 12/09/2023
TabarAir,Los Angeles,Londres,8785,Boeing 737,False,22201.452,687,323860.65,Tab_LoLo_10737,2.5272,A,Sin incidencias,14:30 26/07/2023
Airnar,Cincinnati,Los Angeles,3073,Boeing 747,False,35378.8344,224,172992.87,Air_CiLo_10747,11.5128,C,Sin incidencias,12:30 27/04/2023
TabarAir,Londres,Los Angeles,8785,Boeing 747,False,93648.1,605,532324.59,Tab_LoLo_10747,10.66,B,Sin incidencias,18:15 02/10/2023
FlyQ,Barcelona,Roma,859,Airbus A320,False,2307.0163,82,34564.16,Fly_BaRo_11320,2.6857,A,Incidencia en el sistema de entretenimiento,07:15 06/03/2023
PamPangea,Londres,París,344,Boeing 737,False,877.7160000000001,46,12383.21,Pam_LoPa_10737,2.5515000000000003,A,Amenaza de seguridad a bordo,18:00 07/02/2023
PamPangea,Melbourne,París,16925,Boeing 747,True,195142.8128,1328,1029983.37,Pam_MePa_10747,11.529856,C,Condiciones meteorológicas turbias,06:15 27/01/2023
FlyQ,Bali,Ginebra,12383,Boeing 737,True,32546.090304,1140,458735.83,Fly_BaGi_10737,2.628288,A,Sin incidencias,14:00 05/11/2023
MoldaviAir,Bali,Cincinnati,15011,Airbus A380,True,194905.706112,1200,917407.38,Mol_BaCi_11380,12.984192,C,Sin incidencias,19:15 19/10/2023
FlyQ,Bali,Ginebra,12383,Airbus A380,False,148873.3792,845,761875.49,Fly_BaGi_11380,12.0224,C,Sin incidencias,08:00 25/04/2023
MoldaviAir,Bali,Londres,12553,Airbus A380,False,152368.314,856,753544.5,Mol_BaLo_11380,12.138000000000002,C,Sin incidencias,06:30 31/03/2023
Airnar,Los Angeles,Ginebra,9103,Boeing 737,False,22783.8987,711,330558.13,Air_LoGi_10737,2.5029000000000003,A,Ave impacta con el avión,14:00 18/09/2023
PamPangea,Nueva York,París,5835,Airbus A320,True,16145.58504,542,228064.02,Pam_NuPa_11320,2.767024,A,Mal funcionamiento del tren de aterrizaje,15:30 14/06/2023
TabarAir,Los Angeles,Ginebra,9103,Airbus A380,False,111544.5208,626,591037.68,Tab_LoGi_11380,12.2536,C,Mal funcionamiento del tren de aterrizaje,19:15 18/06/2023
TabarAir,Londres,Nueva York,5566,Airbus A380,False,70133.8264,391,361918.35,Tab_LoNu_11380,12.6004,C,Inundación a bordo,20:15 18/01/2023
Airnar,Cincinnati,Los Angeles,3073,Airbus A380,False,39076.26800000001,224,196746.2,Air_CiLo_11380,12.716000000000005,C,Sin incidencias,13:30 11/07/2023
Airnar,Ginebra,Bali,12383,Boeing 747,False,133322.8078,845,759816.63,Air_GiBa_10747,10.7666,B,"Incidencias de navegación,",23:00 11/04/2023
MoldaviAir,Melbourne,Londres,16900,Boeing 747,True,198601.7696,1326,1003088.06,Mol_MeLo_10747,11.751584,C,Emergencia de los sistemas de comunicación,19:45 14/11/2023
PamPangea,Melbourne,París,16925,Boeing 737,True,44483.7744,1485,613559.61,Pam_MePa_10737,2.628288,A,Incidencias de navegación,17:45 18/10/2023
TabarAir,Roma,Los Angeles,10077,Airbus A320,True,28409.400864,850,390412.29,Tab_RoLo_11320,2.819232,A,Enfrentamiento a bordo,16:15 06/04/2023
FlyQ,Roma,Nueva York,6877,Boeing 737,False,16878.2211,542,241593.94,Fly_RoNu_10737,2.4543,A,Aterrizaje de emergencia,12:45 13/10/2023
PamPangea,Ginebra,Bali,12383,Airbus A380,False,154599.2784,845,812926.12,Pam_GiBa_11380,12.484800000000002,C,Emergencia médica a bordo,11:45 10/09/2023
FlyQ,Roma,Cincinnati,7480,Boeing 737,False,19266.984,588,254577.67,Fly_RoCi_10737,2.5758,A,Fallo grave de los sistemas de comunicación,10:30 14/05/2023
TabarAir,Roma,Ginebra,698,Airbus A380,False,8310.9464,66,42591.66,Tab_RoGi_11380,11.9068,C,Sin incidencias,08:30 18/03/2023
MoldaviAir,Londres,Melbourne,16900,Boeing 747,True,202348.9728,1326,1017780.71,Mol_LoMe_10747,11.973312,C,Sin incidencias,06:30 25/10/2023
MoldaviAir,París,Melbourne,16925,Boeing 737,True,44056.04580000001,1485,607631.02,Mol_PaMe_10737,2.603016,A,Incidencias con el catering,18:45 02/07/2023
TabarAir,Nueva York,Roma,6877,Boeing 747,False,76241.17280000001,478,408751.28,Tab_NuRo_10747,11.086400000000005,C,Ave impacta con el avión,07:45 31/05/2023
MoldaviAir,Melbourne,París,16925,Boeing 747,True,191390.0664,1328,1038244.08,Mol_MePa_10747,11.308128,C,Despresurización de la cabina,23:00 16/03/2023
MoldaviAir,Melbourne,Cádiz,20029,Airbus A380,True,264876.3145600001,1535,1252828.85,Mol_MeCa_11380,13.224640000000004,C,Sin incidencias,13:45 22/01/2023
TabarAir,Londres,Nueva York,5566,Boeing 737,False,14877.918,442,193746.39,Tab_LoNu_10737,2.673,A,Aterrizaje de emergencia,19:30 12/06/2023
PamPangea,Melbourne,Ginebra,16674,Airbus A380,True,200461.4976,1311,1060081.65,Pam_MeGi_11380,12.0224,C,Inundación entre pasajeros,14:30 23/10/2023
TabarAir,Nueva York,Ginebra,6206,Airbus A380,False,78915.49600000001,433,384660.19,Tab_NuGi_11380,12.716000000000005,C,Sin incidencias,18:00 19/07/2023
TabarAir,Los Angeles,Cincinnati,3073,Boeing 747,False,36033.998,224,184807.69,Tab_LoCi_10747,11.726,C,Complicaciones con el catering y Ave impacta con el avión,22:15 25/10/2023
MoldaviAir,Londres,París,344,Boeing 747,False,3740.3808,42,20815.06,Mol_LoPa_10747,10.8732,B,Mal funcionamiento del tren de aterrizaje,13:15 22/03/2023
TabarAir,Ginebra,Cincinnati,6969,Airbus A320,True,19829.146584,624,272686.32,Tab_GiCi_11320,2.845336,A,Sin incidencias,15:30 09/11/2023
MoldaviAir,Cádiz,Melbourne,20029,Airbus A380,True,264876.3145600001,1535,1256717.99,Mol_CaMe_11380,13.224640000000004,C,Sin incidencias,11:00 08/08/2023
PamPangea,Nueva York,Ginebra,6206,Airbus A380,False,75328.428,433,378994.64,Pam_NuGi_11380,12.138,C,Problema de los sistemas hidráulicos,22:30 05/05/2023
TabarAir,Ginebra,Londres,739,Airbus A380,False,8799.1252,69,45635.77,Tab_GiLo_11380,11.9068,C,Sin incidencias,15:15 16/01/2023
FlyQ,Bali,Nueva York,16589,Airbus A380,True,211405.969216,1305,1050831.99,Fly_BaNu_11380,12.743744,C,Sin incidencias,20:30 14/11/2023
TabarAir,Cincinnati,Londres,6284,Airbus A320,True,16731.828672,575,246584.46,Tab_CiLo_11320,2.662608,A,Problemas de navegación,18:45 28/01/2023
MoldaviAir,Melbourne,Londres,16900,Airbus A380,True,211305.7024,1326,1031829.93,Mol_MeLo_11380,12.503296,C,Mal funcionamiento del tren de aterrizaje,11:45 24/09/2023
MoldaviAir,Bali,París,11980,Airbus A380,False,148183.016,818,759540.12,Mol_BaPa_11380,12.3692,C,Sin incidencias,09:15 18/09/2023
MoldaviAir,París,Melbourne,16925,Airbus A380,True,207548.7024,1328,1044687.55,Mol_PaMe_11380,12.262848,C,Sin incidencias,23:00 14/05/2023
FlyQ,Nueva York,Ginebra,6206,Boeing 737,False,15683.8032,491,228802.9,Fly_NuGi_10737,2.5272,A,Problema de los sistemas de comunicación,11:00 26/05/2023
PamPangea,Nueva York,Ginebra,6206,Boeing 737,False,15532.9974,491,210472.89,Pam_NuGi_10737,2.5029,A,Enfrentamiento entre pasajeros,12:00 25/06/2023
MoldaviAir,Londres,Cádiz,1716,Boeing 737,False,4545.1692,150,62236.41,Mol_LoCa_10737,2.6487000000000003,A,Incidencias de navegación,20:45 14/05/2023
FlyQ,Barcelona,Nueva York,6170,Boeing 747,False,66429.92199999999,431,367375.46,Fly_BaNu_10747,10.7666,B,Sin incidencias,21:30 26/04/2023
Airnar,Ginebra,París,411,Airbus A320,False,1124.4549,49,16886.79,Air_GiPa_11320,2.7359,A,Incidencias con las puertas o ventanas y Problemas con el suministro de combustible,06:15 05/09/2023
TabarAir,Cincinnati,Ginebra,6969,Airbus A380,False,85395.33840000001,484,441766.98,Tab_CiGi_11380,12.2536,C,Sin incidencias,08:30 24/04/2023
TabarAir,Los Angeles,Roma,10077,Boeing 747,False,107420.82,691,569103.19,Tab_LoRo_10747,10.66,B,Complicaciones con el catering,21:00 17/11/2023
PamPangea,Nueva York,Bali,16589,Boeing 747,True,185751.412496,1305,1019132.11,Pam_NuBa_10747,11.197264,C,Ave impacta con el avión,09:15 31/03/2023
PamPangea,Melbourne,Londres,16900,Airbus A380,True,215369.2736,1326,1083591.01,Pam_MeLo_11380,12.743744,C,Despresurización de la cabina,23:15 08/04/2023
Airnar,París,Cádiz,1447,Boeing 747,False,15425.02,116,82680.57,Air_PaCa_10747,10.66,B,Fallo grave de los sistemas hidráulicos,07:15 13/09/2023
PamPangea,París,Nueva York,5835,Boeing 737,False,15171.5835,463,207258.86,Pam_PaNu_10737,2.6001000000000003,A,Sin incidencias,19:15 23/10/2023
PamPangea,Bali,Nueva York,16589,Airbus A380,True,219383.55296,1305,1050273.12,Pam_BaNu_11380,13.22464,C,Sin incidencias,20:45 25/10/2023
TabarAir,Londres,Nueva York,5566,Boeing 737,False,13795.8876,442,199535.71,Tab_LoNu_10737,2.4786,A,Sin incidencias,11:45 16/05/2023
PamPangea,Ginebra,Bali,12383,Airbus A380,False,150304.854,845,763079.02,Pam_GiBa_11380,12.138,C,Sin incidencias,10:30 08/09/2023
PamPangea,Ginebra,París,411,Airbus A320,False,1083.1905,49,16677.91,Pam_GiPa_11320,2.6355,A,Incidencia en el sistema de entretenimiento,19:30 18/06/2023
FlyQ,Bali,Cincinnati,15011,Boeing 747,True,181395.565936,1200,885987.34,Fly_BaCi_10747,12.084176,C,Sin incidencias,14:30 07/01/2023
Airnar,París,Bali,11980,Boeing 737,True,30881.37312,1029,416543.87,Air_PaBa_10737,2.577744,A,Fallo leve de los sistemas de comunicación,22:15 02/09/2023
TabarAir,Los Angeles,Londres,8785,Airbus A320,True,24078.9822,756,342945.62,Tab_LoLo_11320,2.74092,A,Incidencias de navegación y Problemas con el catering,12:00 23/02/2023
FlyQ,Nueva York,Roma,6877,Boeing 747,False,78440.43740000001,478,401668.33,Fly_NuRo_10747,11.406200000000002,C,Sin incidencias,08:45 01/10/2023
Airnar,Cádiz,Cincinnati,6624,Airbus A380,False,83465.04960000001,461,434812.46,Air_CaCi_11380,12.600400000000002,C,Sin incidencias,09:15 26/10/2023
MoldaviAir,París,Londres,344,Boeing 737,False,835.9200000000001,46,11797.85,Mol_PaLo_10737,2.43,A,Emergencia médica a bordo y Problemas con el catering,21:00 24/07/2023
MoldaviAir,París,Cincinnati,6370,Airbus A380,False,75846.316,444,385400.29,Mol_PaCi_11380,11.9068,C,Amenaza de seguridad a bordo,16:30 25/09/2023
MoldaviAir,Melbourne,Londres,16900,Airbus A380,True,207242.1312,1326,1032243.04,Mol_MeLo_11380,12.262848,C,Condiciones meteorológicas turbias,15:30 10/05/2023
Airnar,París,Bali,11980,Airbus A380,False,142643.464,818,785364.21,Air_PaBa_11380,11.9068,C,Sin incidencias,21:30 18/08/2023
PamPangea,Melbourne,París,16925,Airbus A380,True,207548.7024,1328,1072187.52,Pam_MePa_11380,12.262848,C,Fallo leve de los sistemas hidráulicos,14:15 05/02/2023
FlyQ,Barcelona,Ginebra,660,Boeing 737,False,1716.066,70,23498.34,Fly_BaGi_10737,2.6001,A,Sin incidencias,13:30 23/05/2023
MoldaviAir,Melbourne,Cincinnati,15262,Airbus A380,True,199999.596992,1217,995147.5,Mol_MeCi_11380,13.104416,C,"Problema del motor,",12:45 12/08/2023
TabarAir,Los Angeles,Cincinnati,3073,Boeing 737,False,7840.759500000001,253,105983.31,Tab_LoCi_10737,2.5515000000000003,A,Sin incidencias,14:30 04/01/2023
FlyQ,Nueva York,Barcelona,6170,Boeing 747,False,66429.92199999999,431,354706.71,Fly_NuBa_10747,10.7666,B,Problema de los sistemas de comunicación,12:45 11/05/2023
Airnar,Cincinnati,Bali,15011,Boeing 737,True,40211.94715200001,1340,513682.12,Air_CiBa_10737,2.6788320000000003,A,Sin incidencias,18:30 01/10/2023
PamPangea,Melbourne,Ginebra,16674,Boeing 737,True,46352.38608000001,1466,613110.95,Pam_MeGi_10737,2.7799200000000006,A,Sin incidencias,13:15 05/07/2023
MoldaviAir,Londres,Bali,12553,Boeing 747,False,133814.98,856,757512.26,Mol_LoBa_10747,10.66,B,Sin incidencias,13:00 15/06/2023
MoldaviAir,Melbourne,Bali,2779,Boeing 737,False,7225.677900000001,231,94803.85,Mol_MeBa_10737,2.6001000000000003,A,Sin incidencias,17:15 10/05/2023
PamPangea,Londres,Bali,12553,Boeing 747,False,144520.1784,856,726550.34,Pam_LoBa_10747,11.5128,C,Sin incidencias,08:30 03/07/2023
MoldaviAir,París,Bali,11980,Airbus A380,False,142643.464,818,757572.87,Mol_PaBa_11380,11.9068,C,Sin incidencias,12:15 15/06/2023
TabarAir,Roma,Los Angeles,10077,Boeing 737,False,25221.7233,785,356227.06,Tab_RoLo_10737,2.5029000000000003,A,Sin incidencias,15:45 23/05/2023
TabarAir,Nueva York,Ginebra,6206,Airbus A320,True,17172.150944,569,248148.27,Tab_NuGi_11320,2.767024,A,Emergencia médica a bordo y Incendio a bordo,20:00 21/01/2023
PamPangea,Londres,París,344,Airbus A380,False,4175.472000000001,42,21260.35,Pam_LoPa_11380,12.138000000000002,C,Mal funcionamiento del tren de aterrizaje,20:00 07/02/2023
TabarAir,Los Angeles,Londres,8785,Boeing 747,False,97394.024,605,503704.95,Tab_LoLo_10747,11.0864,C,Amenaza de seguridad a bordo y Problemas con el suministro de combustible,11:30 21/10/2023
Airnar,Ginebra,Cincinnati,6969,Boeing 747,False,75032.4354,484,401889.28,Air_GiCi_10747,10.7666,B,Sin incidencias,08:15 08/08/2023
FlyQ,Bali,Barcelona,13058,Boeing 737,True,33330.17937600001,1191,482423.72,Fly_BaBa_10737,2.5524720000000007,A,"Fallo grave de los sistemas de comunicación,",16:45 21/08/2023
MoldaviAir,París,Cádiz,1447,Airbus A320,False,3922.5276,124,55927.44,Mol_PaCa_11320,2.7108,A,Sin incidencias,12:30 06/06/2023
TabarAir,Los Angeles,Nueva York,3944,Airbus A380,False,47872.272,282,256276.85,Tab_LoNu_11380,12.138,C,Turbulencia severa,21:15 12/02/2023
TabarAir,Cincinnati,Nueva York,911,Boeing 747,False,10488.1608,80,51932.3,Tab_CiNu_10747,11.5128,C,Sin incidencias,09:00 10/09/2023
PamPangea,Melbourne,París,16925,Boeing 747,True,193266.4396,1328,971620.0,Pam_MePa_10747,11.418992,C,Sin incidencias,18:00 05/01/2023
FlyQ,Barcelona,Ginebra,660,Airbus A380,False,7705.896000000001,64,42948.54,Fly_BaGi_11380,11.6756,C,Sin incidencias,06:15 13/02/2023
PamPangea,París,Nueva York,5835,Airbus A320,True,15231.684,542,226927.89,Pam_PaNu_11320,2.6104,A,Sin incidencias,08:45 26/03/2023
MoldaviAir,Londres,Bali,12553,Boeing 747,False,140505.729,856,738924.08,Mol_LoBa_10747,11.193,C,Aterrizaje de emergencia,11:30 13/06/2023
Airnar,Bali,París,11980,Boeing 747,False,128983.868,818,675327.71,Air_BaPa_10747,10.7666,B,Condiciones meteorológicas adversas,23:15 15/09/2023
FlyQ,Ginebra,Nueva York,6206,Boeing 747,False,70786.87720000002,433,363919.97,Fly_GiNu_10747,11.406200000000002,C,Fallo eléctrico general,09:45 27/08/2023
Airnar,Bali,París,11980,Airbus A380,False,146798.128,818,762336.17,Air_BaPa_11380,12.2536,C,Mal funcionamiento del tren de aterrizaje,08:00 20/05/2023
PamPangea,París,Melbourne,16925,Boeing 737,True,43200.5886,1485,613840.97,Pam_PaMe_10737,2.5524720000000003,A,Discusión entre pasajeros,14:15 02/07/2023
FlyQ,Roma,Barcelona,859,Boeing 747,False,10072.634,77,50999.3,Fly_RoBa_10747,11.726,C,Sin incidencias,15:00 28/04/2023
FlyQ,Ginebra,Cincinnati,6969,Airbus A320,True,18555.715152,624,276556.71,Fly_GiCi_11320,2.662608,A,Complicaciones de navegación,21:30 17/10/2023
MoldaviAir,Bali,Londres,12553,Boeing 747,False,141843.8788,856,733397.67,Mol_BaLo_10747,11.2996,C,Enfrentamiento entre pasajeros,15:30 09/06/2023
FlyQ,Bali,Nueva York,16589,Airbus A380,True,217389.157024,1305,1081702.91,Fly_BaNu_11380,13.104416,C,Sin incidencias,08:15 25/07/2023
TabarAir,Nueva York,Roma,6877,Boeing 747,False,77707.34920000001,478,397650.16,Tab_NuRo_10747,11.299600000000002,C,Turbulencia severa,08:30 23/08/2023
FlyQ,Cincinnati,Ginebra,6969,Boeing 737,False,17781.4035,549,245371.37,Fly_CiGi_10737,2.5515,A,Sin incidencias,12:30 14/06/2023
MoldaviAir,Cádiz,París,1447,Boeing 747,False,15887.7706,116,82497.91,Mol_CaPa_10747,10.9798,B,Sin incidencias,11:30 14/09/2023
MoldaviAir,Londres,Cádiz,1716,Boeing 747,False,19755.9648,134,101035.39,Mol_LoCa_10747,11.5128,C,Emergencia médica a bordo,23:00 21/08/2023
MoldaviAir,Melbourne,Cincinnati,15262,Boeing 737,True,39341.52892800001,1359,542693.62,Mol_MeCi_10737,2.5777440000000005,A,Sin incidencias,16:30 25/01/2023
